"Erlangga Fokus AKM SMA/MA","Text","","978-623-266-363-3","Penerbit Erlangga","2020","AKM","","","","jakata","NONE","","","","<Khristiyono Prahoro Sakti, Spd., M.M, MBiomed><Anik Muslikah Indriastuti, S.P., m.hum><Rida Afrilyasanti, M.Pd>","","<32071><32072><32073><32074><32075><32076><32077><32078><32079><32080><32081><32082><32083><32084><32085><32086><32087><32088><32089><32090><32091><32092><32093><32094><32095><32096><32097><32098><32099><32100><32101><32102><32103><32104><32105><32106><32107><32108><32109><32110><32111><32112><32113><32114><32115><32116><32117><32118><32119><32120><32121><32122><32123><32124><32125><32126><32127><32128><32129><32130><32131><32132><32133><32134><32135><32136><32137><32138><32139><32140><32141><32142><32143><32144><32145><32146><32147><32148><32149><32150><32151><32152><32153><32154><32155><32156><32157><32158><32159><32160><32161><32162><32163><32164><32165><32166><32167><32168><32169><32170><32171><32172><32173><32174><32175><32176><32177><32178><32179><32180><32181><32182><32183><32184><32185><32186><32187><32188><32189><32190><32191><32192><32193><32194><32195><32196><32197><32198><32199><32200><32201><32202><32203><32204><32205><32206><32207><32208><32209><32210><32211><32212><32213><32214><32215><32216><32217><32218><32219><32220><32221><32222><32223><32224><32225><32226><32227><32228><32229><32230><32231><32232><32233><32234><32235><32236><32237><32238><32239><32240><32241><32242><32243><32244><32245><32246><32247><32248><32249><32250><32251><32252><32253><32254><32255><32256><32257><32258><32259><32260><32261><32262><32263><32264><32265><32266><32267><32268><32269><32270><32271><32272><32273><32274><32275><32276><32277><32278><32279><32280><32281><32282><32283><32284><32285><32286><32287><32288><32289><32290><32291><32292><32293><32294><32295><32296><32297><32298><32299><32300><32301><32302><32303><32304><32305><32306><32307><32308><32309><32310><32311><32312><32313><32314><32315><32316><32317><32318><32319><32320><32321><32322><32323><32324><32325><32326><32328><32329><32330><32331><32332><32333><32334><32335><32336><32337><32338><32339><32340><32341><32342><32343><32344><32345><32346><32347><32348><34349><32350><32351>"
"sosiologi kelompok peminatan ilmu pengetahuan sosial","Text","","978-602-254-195-0","Esis Erlangga","2016","sosiologi kelas x","","","","jakarta","NONE","","","","<Kun Maryati>","","<123456789>"
"Daftar Alamat dan Telepon Penting Untuk Pelajar","Text","","978-602-1593-35-6","PT Mentari Utama Unggul","2013","Umum","","","","Bekasi","NONE","","","","<Putri Khumairoh><Jayus Lacanda>","","<32070>"
"Memilih Bahan Busana","Text","","602-8950-17-6","PT Intan Sejati","2011","Umum","","","","Klaten","NONE","","","","<Noor Fitrihana>","","<32069>"
"Coloring Book Nusantara For Adult Sumatra and Java Editition","Text","","978-602-73871-6-4","PT. Tiga Serangkai Pustaka Mandiri","2016","Umum","","","Indonesia","Solo","NONE","","","","<Carolina Ratri>","","<32003><32004><32068>"
"Mengembangkan E-learning Sekolah","Text","","978-602-7596-74-0","Esensi Erlangga Group","2014","","","","Indonesia","jakarta","NONE","","","","<Sukari, S.Pd., M.Pd>","","<30752><31808><31809><31810><31811><32067>"
"50 Rahasia Alami Tidur yang Berkualitas","Text","","979-781-489-0","Penerbit Erlangga","","Umum","","","","jakarta","NONE","","","","<Tracey kelly>","","<32066>"
"Meraih Hokie dengan Koi dan Koki","Text","","602-8799-57-7","PT Citra Aji Parama","2011","Umum","","","","Yogyakarta","NONE","","","","<Suwarman Partosuwiryo><Moch. Irfan>","","<32065>"
"Cara Mudah Belajar HRD","Text","","978-602-8237-26-0","PT. Era Intermedia","2008","Umum","","","","Surakarta","NONE","","","","<M. Ihsan Fauzi, S.Si>","","<32064>"
"Menggambar dan Membuat Sketsa","Text","","979-33-0675-0","PT. Tiga Serangkai Pustaka Mandiri","2007","Umum","","","","Solo","NONE","","","","<Deri robins>","","<32063>"
"Belajar Melukis Ide dan teknik Menciptakan Karya Seni yang Menakjubkan","Text","","979-33-0676-9","PT. Tiga Serangkai Pustaka Mandiri","979-33-0676-9","Umum","","","","Solo","NONE","","","","<Deri robins>","","<32062>"
"Hubungan Internasional","Text","","979-662-237-5","PT Cempaka Putih","2008","Umum","","","","Klaten","NONE","","","","<Amin Suprihatini>","","<32061>"
"Ensiklopedia Hutan","Text","","978-979-075-741-7","Esensi Erlangga Group","2009","Ensiklopedia","","","","jakarta","NONE","","","","<Sherien Sabbah, M.Hum>","","<32060>"
"Pemuda dan Kelautan Penebar Jala","Text","","602-8227-40-7","PT. Citra Aji Parama","2009","Geografi","","","","Klaten","NONE","","","","<Adhyaksa Dault>","","<32059>"
"Lingkungan Hidup dan Pelestariannya","Text","","978-602-9122-82-4","Saka Mitra Kompetensi","2015","Geografi","","","","Klaten","NONE","","","","<Retno Hastuti>","","<32058>"
"Permasalahan Penduduk Perkotaan","Text","","979-662-680-9","PT Cempaka Putih","2016","Geografi","","","","Klaten","NONE","","","","<Zudan Arif Fakrulloh><Endar Wismulyani>","","<32047>"
"Bersahabat dengan Bencana Alam","Text","","","CV. Jabal Rohmat","2010","Geografi","","","","Bekasi","NONE","","","","<Wawan Setiawan>","","<32024>"
"Ensiklopedia Seni dan Budaya Nusantara Sumatra Utara","Text","","978-602-1593-17-2","PT. Mentari Utama Unggul","2013","Ensiklopedia","","","","Bekasi","NONE","","","","<Ruri Erlangga>","","<32050>"
"Perjalanan Wisata Prancis Mengenal Ragam Budaya dan Geografi","Text","","979-33-0711-0","PT. Tiga Serangkai Pustaka Mandiri","2007","Geografi","","","","Solo","NONE","","","","<Linda Pickwell>","","<32052>"
"Perlawanan Wisata Mesir Mengenal Ragam Budaya dan Geografi","Text","","979-33-0710-2","PT. Tiga Serangkai Pustaka Mandiri","2007","Geografi","","","","Solo","NONE","","","","<Elaine Jackson>","","<32023><32025><32057>"
"Pemahaman Geografi Gempa Bumi dan Gunung Berapi","Text","","979-534-203-7","Miles Kelly Publishing","2004","Geografi","","","","Bandung","NONE","","","","<Fiona Watt>","","<32056>"
"Seri Pustaka Sains Planet Bumi","Text","","979-534-247-9","Miles Kelly Publishing","2005","Umum","","","","Bandung","NONE","","","","<John Farndon>","","<32055>"
"Seri Pustaka Sains Menemukan Sains","Text","","979-534-257-6","Miles Kelly Publishing","2005","Umum","","","","Bandung","NONE","","","","<John Farndon><Ian Graham>","","<32029><32054>"
"Seri Pustaka Sains Penciptaan Teknologi","Text","","979-534-259-2","Miles Kelly Publishing","2005","Umum","","","","Bandung","NONE","","","","<Barbara Taylor>","","<32027><32053>"
"Kreasi Daur Ulang Membuat Kertas","Text","","978-979-018-126-7","PT. Tiga Serangkai Pustaka Mandiri","2007","Umum","","","","Solo","NONE","","","","<Hanna Paluzi>","","<32051>"
"Seri Pustaka Sains Ilmuan Besar","Text","","979-534-244-4","Pakar Raya Pakarnya Pustaka","2005","Fisika","","","Indonesia","Bandung","NONE","","","","<John Farndon>","","<30887><32049>"
"Listrik dan Kemagnetan","Text","","978-979-018-990-4","PT. Tiga Serangkai Pustaka Mandiri","2008","Fisika","","","","Solo","NONE","","","","<Gerard Cheshire>","","<32048>"
"Seri Pustaka Tumbuhan","Text","","979-534-260-6","Miles Kelly Publishing","2005","Biologi","","","","Bandung","NONE","","","","<Peter Riley>","","<32046>"
"Seri Pustaka Sains Ruang Angkasa","Text","","979-534-248-7","Pakar Raya Pakarnya Pustaka","2005","Biologi","","","Indonesia","Bandung","NONE","","","","<John Farndon>","","<30886><32045>"
"Tanya Jawab Enaiklopedia Flora Fauna Liar","Text","","979-534-264-9","Pakar Raya Pakarnya Pustaka","2005","Ensiklopedia","","","Indonesia","Bandung","NONE","","","","<Brian Williams>","","<30893><32044>"
"Tanya dan Jawab Ensiklopedia Tubuh Manusia","Text","","979-534-263-0","Pakar Raya Pakarnya Pustaka","2005","Biologi","","","Indonesia","Bandung","NONE","","","","<Steve Parker>","","<30842><32043>"
"Tanya Jawab Ensiklopedia Seni, Olahraga dan Hiburan","Text","","979-534-262-2","Miles Kelly Publishing","2005","Umum","","","","Bandung","NONE","","","","<Brian Williams>","","<32030><32041><32042>"
"Evolusi dan Pewarisan Sifat","Text","","978-979-018-988-1","PT. Tiga Serangkai Pustaka Mandiri","2008","Biologi","","","","Solo","NONE","","","","<Denise Walker>","","<32040>"
"Material dan Sifatnya","Text","","979-9148-76-6","PT Pribumi Mekar","2007","Fisika","","","","Bandung","NONE","","","","<Toto Subroto>","","<32034>"
"Buaya dan Aligator","Text","","979-33-0692-0","PT. Tiga Serangkai Pustaka Mandiri","2007","Biologi","","","Indonesia","Solo","NONE","","","","<Sally Morgan>","","<30841><32035>"
