Sains Dalam Pembuatan Flim,Text,,0-471-38941-2,Pakar Raya Pakarnya Pustaka,2005,,,,Indonesia,Bandung,NONE,,,,<Jim Wiese>,,<30619>
"Fa Ido Ma, Ma Ido FarnJ.A.dimararnLintas Perjuangan Putra Papua",Text,,979-96258-0-7,PT Sakanindo Printama,2001,,,,Indonesia,jakarta,NONE,,,,<Sukmawati><Carmelia>,,<30617><30618>
Pembukuan Bendaharawan,Text,,,,,,,,Indonesia,,NONE,,,,,,<30615><30616>
12 Kilat Untuk Keluar dari Pengangguran,Text,,978-602-838-125-3,Akademia,2018,,,,Indonesia,Jakarta Barat,NONE,,,,<Yuan Acitra>,,<30613><30614>
Pelayanan Bimbingan Dan KonselingrnSekolah Menengah Umum (Smu),Text,,979-9158-00-1,,1998,,,,Indonesia,,NONE,,,,"<Prof.Dr.Prayitno><M.Sc.Ed.,dkk>",,<30611><30612>
Quantum TahfidzrnMetode Cepat dan Mudah Menghafal Al-quraan,Text,,978-602-0935-01-0,Emir Cakrawala Islam,2015,,,,Indonesia,jakarta,NONE,,,,"<Masagus H.A. Fauzan Yayan,SQ>",,<30594><30609><30610>
"Miqat Kebinekaan: Sebuah Renungan Meramu Pancasila,rnNasionalisme, Dan NU Sebagai Titik Pijak Perjuangan",Text,,978-602-0935-67-6,Emir Cakrawala Islam,2017,,,,Indonesia,jakarta,NONE,,,,<A. Helmy Faishal Zaini>,,<30607><30608>
Wirausaha Saja!,Text,,978-602-6847-61-4,Esensi Erlangga Group,2018,,,,Indonesia,jakarta,NONE,,,,<Noor Shodiq Askandar><Jeni Susyanti>,,<30605><30606>
Sepasang Sayap Menuju Surga,Text,,978-602-0935-16-4,Emir Cakrawala Islam,2015,,,,Indonesia,jakarta,NONE,,,,<Yugha Erlangga><Astrie Ivo>,,<30603><30604>
Let's Write English Texts,Text,,978-602-2341-57,PT Citra Aji Parama,2018,,,,Indonesia,Yogyakarta,NONE,,,,<Purwanti>,,<30601><30602>
Rahasia Menjadi Siswa Unggul,Text,,978-979-099-506-2,Esensi Erlangga Group,2011,,,,Indonesia,jakarta,NONE,,,,"<Dr. Sumardi, MSc.>",,<30597><30598>
Cara Ampuh Merebut Hati Murid,Text,,978-6002-241-096-6,Esensi Erlangga Group,2012,,,,Indonesia,jakarta,NONE,,,,<Joko Wahyono>,,<30599><30600>
Sekolah Cinta Menjadi Pemimpin Dan Guru Hebat,Text,,978-602-0935-44-7,Emir Cakrawala Islam,2016,,,,Indonesia,jakarta,NONE,,,,<edi sutarto>,,<30595><30596>
Mengenal Pers Indonesia,Text,,978-979-026-175-4,Pustaka Insan Madani,2017,,,,Indonesia,Yogyakarta,NONE,,,,<Ryan Sugiarto>,,<30593>
Mencari Bentuk Otonomi Daerah,Text,,979-518-874-7,PT Rineka Cipta,2002,,,,Indonesia,jakarta,NONE,,,,<Dr.J.Kaloh>,,<30592>
"Panduan Perlidungan Guru rnDi Sekolah, Madrasah, Dan Pesantren",Text,,978-602-434-965-3,Penerbit Erlangga,2018,,,,Indonesia,jakarta,NONE,,,,"<Dr. Susanto ,M.A.>",,<30590><30591>
Kesempatan Hidup Kedua,Text,,978-979-099-836-0,Penerbit Erlangga,2012,,,,Indonesia,jakarta,NONE,,,,<Roidah>,,<30587><30588><30589>
8 Etos Keguruan,Text,,978-602-6847-19-5,Esensi Erlangga Group,2016,,,,Indonesia,jakarta,NONE,,,,<Jansen Sinamo>,,<30584><30585><30586>
Belajar Dengan Hati Nurani,Text,,978-979-099-105-7,Penerbit Erlangga,2011,,,,Indonesia,jakarta,NONE,,,,<Akh. Muwafik Saleh>,,<30579><30580><30581><30582><30583>
Guru Sebagai Pelatih Kelas,Text,,978-602-241-146-8,Penerbit Erlangga,2007,,,,Indonesia,jakarta,NONE,,,,<Andi Stix><Frank Hrbek>,,<30576><30577><30578>
Pelajar Indonesia Anti Narkoba,Text,,978-602-0935-41-6,Emir Cakrawala Islam,2016,,,,Indonesia,jakarta,NONE,,,,"<Dr.H.Abdul Wahib, M.Ag>",,<30573><30574><30575>
Tanaman HiasrnMy Hobby My Business,Text,Cetakan Pertama: Februari 2015,978-602-72110-0-1,Metagraf Creative Imprint of Tiga Serangai,2015,,,712.028 ARD T03/3,Indonesia,Solo,712,,Tanaman_Hias.jpg.jpg,,<Gunawan Ardiyanto>,,<30570><30571><30572>
Psikologi Pendidikan 1,Text,2014,978-602-241-756-9,Penerbit Erlangga,2014,,,,Indonesia,jakarta,NONE,,Psikologi_Pendidikan_1.jpg.jpg,,<I Nyoman Surna><Olga D. Pandeirot>,,<30569>
100 Golden Tips For Creative Preneur,Text,,978-602-6328-23-6,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,Solo,NONE,,,,<Steve Wirawan>,,<10195><10196><10197><30568>
Tip Hidup Berkah dan SelamatrnNasihat bagi Para Pencari Kebenaran,Text,Cetakan Pertama: Februari 2017,978-602-0894-51-5,"Tinta Medina, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,Tip_Hidup_Berkah_dan_Selamat.jpg.jpg,,<Yanuardi Syukur>,,<10240><10241><30567>
Mau Kemana Setelah SMA ?,Text,,978-602-7596-60-3,Esensi Erlangga Group,2013,Referensi,,,Indonesia,jakarta,NONE,,,,<Wulan Ayodya>,,<30520><30566>
Katak Hendak Jadi Lembu,Text,,979-407-158-7,Balai Pustaka,2001,,,,Indonesia,jakarta,NONE,,,,<N. St. Iskandar>,,<10533><30565>
Upacara,Text,,979-419-181-7,PT Dunia Pustaka Jya,2002,Novel,,,Indonesia,jakarta,NONE,,,,<Korrie Layun Rampan>,,<10505><10507><10539><10540><30564>
Password Menuju Sukses,Text,,978-602-6847-65-2,Esensi Erlangga Group,2018,,,,Indonesia,jakarta,NONE,,,,"<Dr. Sumardi, MSc.>",,<30531><30563>
Membangun Karakter dengan Hati Nurani (Pendidikan Karakter untuk Generasi Bangsa),Text,,978-602-241-030-0,Penerbit Erlangga,2012,Referensi,,,Indonesia,jakarta,NONE,,,,<Akh. Muwafik Saleh>,,<30450><30451><30549><30560><30561><30562>
Benarkah Matahari Mengelilingi Bumi?,Text,2015,978-602-0935-14-0,Emir Cakrawala Islam,2015,,,,Indonesia,jakarta,NONE,,Benarkah_Matahari_Mengelilingi_Bumi.jpg.jpg,,"<Rahmat Abdullah, M.Pd.>",,<30557><30558><30559>
Buku Pintar Muslimah: Sifat-Sifat Wanita Dambaan Surga,Text,,978-602-0894-91-1,"Tinta Medina, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,,NONE,,,,<Ummu>,,<30554><30555><30556>
Buku Pintar Remaja Berbakat Buku Pegangan Untuk Remaja,Text,,978-979-015-679-1,Esensi Erlangga Group,2006,,,,Indonesia,jakarta,NONE,,,,"<Judy Galbaith,M.A.><Jim Delisle, Ph.D>",,<30553>
Bisnis Furniture Dan Handicraft Berkualias Ekspor Penekanan Pada Pengetahuan Dasar Tentang Pengecatan,Text,,978-979-033-204-1,Esensi Erlangga Group,2008,,,,Indonesia,jakarta,NONE,,,,"<Ir. Tikno Lensufiie, M.Pd>",,<30552>
The Luck Habit,Text,,978-602-7596-58-0,Esensi Erlangga Group,2013,,,,Indonesia,jakarta,NONE,,,,<Douglas Miller>,,<30551>
Psikologi Sosial,Text,,978-602-241-038-6,Penerbit Erlangga,2012,,,,Indonesia,jakarta,NONE,,,,<Jenny Mercer><Debbie Clayton>,,<30550>
Mengenal Dan Membuat Kerajinan Keramik,Text,,979-3711-37-X,CV Nuansa Citra Grafka,2007,,,,Indonesia,Bandung,NONE,,,,<Aminudin>,,<30548>
My Photography Core Series: The Compendium Series,Text,,978-602-02-0423-9,PT Elex Media Komputin,2013,,,,Indonesia,jakarta,NONE,,,,<Edo Kurniawan><Narsiskus Tedy>,,<30547>
Penuntun Belajar Mengukir Kayu Bagi Pemula,Text,,979-507-246-3,Mitra Gama Widya,2000,,,,Indonesia,,NONE,,,,<Saiman Rais><Suhirman>,,<30546>
Menggapai cita-cita: Bimbingan Karier untuk Remaja Muslim,Text,,978-979-24-9898-1,Pustaka Insan Madani,2007,,,,Indonesia,Yogyakarta,NONE,,,,<Drs. Tuwuh Trisnayadi>,,<30545>
Mengapa Disebut Bentuk Baku Dan Tidak Baku? (kosakata),Text,,979-507-090-8,Mitra Gama Widya,1999,,,,Indonesia,,NONE,,,,<Dirgo Sabariyanto>,,<30544>
Panduan Pemasyarakatan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 Dan Ketetapan MPR RI,Text,EDISI REVISI,,Sekretariat Jederal MPR RI,2012,,,,Indonesia,jakarta,NONE,,,,,,<30542><30543>
Building A Meaningbul Startup,Text,,978-602-6328-00-7,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,,NONE,,,,<Brilliant Yotenega>,,<30541>
Hijabed Woman's Creativity Fasion Designer,Text,,978-602-6328-46-5,Metagraf Creative Imprint of Tiga Serangai,2018,,,,Indonesia,Solo,NONE,,,,<Fitri Aulia><Hikmawati Arsyid>,,<30540>
Teknik Pembuatan Pola Dan Perubahan Model Pakaian Wanita Dan Pria,Text,,979-732-225-4,Penerbit PT Grasindo,2008,,,,Indonesia,jakarta,NONE,,,,<Soekarno><Rasmini>,,<30539>
Passion Stories Menggali Inspirasi Kreatif Dari Para Maestro Dalam Berkarya Dan Menghidupkan Lentera Jiwanya,Text,,978-602-6328-28-1,Metagraf Creative Imprint of Tiga Serangai,2017,,,,Indonesia,,NONE,,,,<Qalbinur Nawawi>,,<30534><30535><30536>
Dimensi Manajemen Pendidikan Islam,Text,,978-602-0935-07-2,Emir Cakrawala Islam,2015,,,,Indonesia,jakarta,NONE,,,,"<Prof. Dr. Mujamil Qamar, M.Ag>",,<30533>
Rekam Jejak Perkembangan Geometri Dari Geometri Eunclid Hingga Non-Enclid,Text,,979-28-1171-1,PT Macana Jaya Cemerang,2018,,,,Indonesia,Klaten,NONE,,,,<Agung Prabowo>,,<30538>
My Hobby My Business Otomotif,Text,,978-602-9212-62-4,Metagraf Creative Imprint of Tiga Serangai,2014,,,,Indonesia,Solo,NONE,,,,<Gunawan Ardiyanto>,,<30537>
Sejarah Peminatan Kelas X,Text,EDISI REVISI,978-979-040-322-2,PT Wangsa Jatra Lestari,2016,Sejarah,,,Indonesia,Solo,NONE,,,,<Rini Mardikaningsih><Sumaryanto><Trikaryati>,,<15906><15907><15908><15909><15910><15911><15912><15913><15914><15915><15916><15917><15918><15919><15920><15921><15922><15923><15924><15925><15926><15927><15928><15929><15930><15931><15932><15933><15934><15935><15936><15937><15938><15939><15940><15941><15942><15943><15944><15945><15946><15947><15948><15949><15950><15951><15952><15953><15954><15955><15956><15957><15958><15959><15960><15961><15962><15963><15964><15965><15966><15967><15968><15969><15970>
Sirah Rasulullah SAW : Perjalanan Hidup Manusia Mulia,Text,Cetakan ke-1,978-602-257-708-9,Tinta Medina,2014,Agama,,,Indonesia,Solo,NONE,,,,<Syekh Mahmud Al-Mishri>,,
Sejarah Indonesia Kelas X Kurikulum 2013,Text,"Cetakan Ke-1, 2013",978-602-282-107-6,Pusat Kurikulum dan Perbukuan,2013,Sejarah,,,Indonesia,jakarta,NONE,,,,<Amurwani Dwi Lestariningsih><Restu Gunawan><Sardiman><Mestika Zed><Wahdini Purba><Wasino><Agus Mulyana>,,<15901><15902><15903><15904><15905>
Sejarah Indonesia Kelas X Edisi Revisi 2014,Text,"Cetakan Ke-2, 2014",978-602-282-496-1,Pusat Kurikulum dan Perbukuan,2014,Sejarah,,,Indonesia,jakarta,NONE,,,,<Sardiman AM><Amurwani Dwi Lestariningsih><Restu Gunawan><Mestika Zed><Wahdini Purba><Wasino><Agus Mulyana>,,<15900>
Sejarah Indonesia Kelas X Edisi Revisi 2017,Text,"Cetakan Ke-4, 2017",978-602-427-122-0,Pusat Kurikulum dan Perbukuan,2017,Sejarah,,,Indonesia,jakarta,NONE,,,,<Amurwani Dwi Lestariningsih><Restu Gunawan><Sardiman>,,<15744><15746><15747><15748><15749><15750><15751><15752><15753><15754><15755><15756><15757><15758><15759><15760><15761><15762><15763><15764><15765><15766><15767><15768><15769><15770><15771><15772><15773><15774><15775><15776><15777><15778><15779><15780><15781><15782><15783><15784><15785><15786><15787><15788><15789><15790><15791><15792><15793><15794><15795><15796><15797><15798><15799><15800><15801><15802><15803><15804><15805><15806><15807><15808><15809><15810><15811><15812><15813><15814><15815><15816><15817><15818><15819><15820><15821><15822><15823><15824><15825><15826><15827><15828><15829><15830><15831><15832><15833><15834><15835><15836><15837><15838><15839><15840><15841><15842><15843><15844><15845><15846><15847><15848><15849><15850><15851><15852><15853><15854><15855><15856><15857><15858><15859><15860><15861><15862><15863><15864><15865><15866><15867><15868><15869><15870><15871><15872><15873><15874><15875><15876><15877><15878><15879><15880><15881><15882><Sejarah><15884><15885><15886><15887><15888><15889><15890><15891><15892><15893><15894><15895><15896><15897><15898><15899>
